,Country,ISO3
0,Afghanistan,AFG
1,Armenia,ARM
2,Azerbaijan,AZE
3,Bahrain,BHR
4,Bangladesh,BGD
5,Bhutan,BTN
6,Brunei Darussalam,BRN
7,Cambodia,KHM
8,China,CHN
9,Cyprus,CYP
10,Georgia,GEO
11,Hong Kong,HKG
12,India,IND
13,Indonesia,IDN
14,"Iran, Islamic Republic of",IRN
15,Iraq,IRQ
16,Israel,ISR
17,Japan,JPN
18,Jordan,JOR
19,Kazakhstan,KAZ
20,"Korea, Democratic People's Republic of",PRK
21,"Korea, Republic of",KOR
22,Kuwait,KWT
23,Kyrgyzstan,KGZ
24,Lao People's Democratic Republic,LAO
25,Lebanon,LBN
26,Macao,MAC
27,Malaysia,MYS
28,Maldives,MDV
29,Mongolia,MNG
30,Myanmar,MMR
31,Nepal,NPL
32,Oman,OMN
33,Pakistan,PAK
34,"Palestine, State of",PSE
35,Philippines,PHL
36,Qatar,QAT
37,Saudi Arabia,SAU
38,Singapore,SGP
39,Sri Lanka,LKA
40,Syrian Arab Republic,SYR
41,Taiwan,TWN
42,Tajikistan,TJK
43,Thailand,THA
44,Timor-Leste,TLS
45,Türkiye,TUR
46,Turkmenistan,TKM
47,United Arab Emirates,ARE
48,Uzbekistan,UZB
49,Viet Nam,VNM
