Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Drought",Number of,1.0,,,1.0,
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Flood",Number of,3.0,6.0,5.0,2.0,5.0
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,1.0,1.0,1.0,1.0,1.0
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Storm",Number of,,,1.0,,
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,5.0,7.0,7.0,4.0,6.0
"Afghanistan, Islamic Rep. of",AFG,"Climate related disasters frequency, Number of Disasters: Wildfire",Number of,,,,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: Storm",Number of,1.0,1.0,1.0,,
"Armenia, Rep. of",ARM,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,1.0,1.0,1.0,,
"Azerbaijan, Rep. of",AZE,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
"Azerbaijan, Rep. of",AZE,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,,,,,
"Azerbaijan, Rep. of",AZE,"Climate related disasters frequency, Number of Disasters: Flood",Number of,,,,,
"Azerbaijan, Rep. of",AZE,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,,,,
"Azerbaijan, Rep. of",AZE,"Climate related disasters frequency, Number of Disasters: TOTAL",Number of,,,,,
Bangladesh,BGD,"Climate related disasters frequency, Number of Disasters: Drought",Number of,,,,,
Bangladesh,BGD,"Climate related disasters frequency, Number of Disasters: Extreme temperature",Number of,1.0,1.0,,,
Bangladesh,BGD,"Climate related disasters frequency, Number of Disasters: Flood",Number of,2.0,1.0,1.0,1.0,1.0
Bangladesh,BGD,"Climate related disasters frequency, Number of Disasters: Landslide",Number of,,1.0,,,
