Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Afghanistan,AFG,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
Afghanistan,AFG,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
Armenia,ARM,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
Armenia,ARM,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
Azerbaijan,AZE,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
Azerbaijan,AZE,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
Bahrain,BHR,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
Bahrain,BHR,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
Bangladesh,BGD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
Bangladesh,BGD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
Bhutan,BTN,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.64916666666664,414.21416666666664,416.4141666666667,418.52833333333336
