Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Afghanistan,AFG,Index of forest extent,Index,100.0,100.0,100.0,100.0,100.0
Afghanistan,AFG,Share of forest area,Percent,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184
Armenia,ARM,Index of forest extent,Index,98.3781617171983,98.315346143722,98.2525305702458,98.1897149967695,98.1268994232932
Armenia,ARM,Share of forest area,Percent,11.5521601685985,11.5447839831401,11.5374077976818,11.5300316122234,11.522655426765
Azerbaijan,AZE,Index of forest extent,Index,116.310651297265,117.51969082158,118.729254874973,119.938472739175,121.147921396171
Azerbaijan,AZE,Share of forest area,Percent,13.4139303602971,13.5533670481767,13.6941896764514,13.8329909255898,13.9724815486993
Bahrain,BHR,Index of forest extent,Index,264.0,272.0,280.0,288.0,296.0
Bahrain,BHR,Share of forest area,Percent,0.848329048843188,0.871794871794872,0.89171974522293,0.911392405063291,0.936708860759494
Bangladesh,BGD,Index of forest extent,Index,98.0769134631888,98.0769134631888,98.0769134631888,98.0769134631888,98.0769134631888
Bangladesh,BGD,Share of forest area,Percent,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609,14.4687716063609
Bhutan,BTN,Index of forest extent,Index,107.699906909588,107.778273837795,107.856640766001,107.935007694207,108.013374622414
Bhutan,BTN,Share of forest area,Percent,71.3455689564761,71.3974829575249,71.4493969585737,71.5013109596224,71.5532249606712
Brunei Darussalam,BRN,Index of forest extent,Index,92.7281600780869,92.7281600780869,92.7281600780869,92.7281600780869,92.7281600780869
Brunei Darussalam,BRN,Share of forest area,Percent,72.1062618595825,72.1062618595825,72.1062618595825,72.1062618595825,72.1062618595825
Cambodia,KHM,Index of forest extent,Index,76.4573497595628,75.0368247100008,73.616299660439,72.1957746108771,70.7752495613151
Cambodia,KHM,Share of forest area,Percent,47.4719578518015,46.589961477453,45.7079651031045,44.825968728756,43.9439723544074
China,CHN,Index of forest extent,Index,134.203696145842,135.370315150185,136.536934154528,137.703553158871,138.870172163214
China,CHN,Share of forest area,Percent,23.0309121760165,23.2311175399783,23.4313229039402,23.631528267902,23.8317336318638
Cyprus,CYP,Index of forest extent,Index,105.734942711844,105.72268856075,105.710434409656,105.698180258563,105.685926107469
Cyprus,CYP,Share of forest area,Percent,18.6764069264069,18.6742424242424,18.6720779220779,18.6699134199134,18.6677489177489
Georgia,GEO,Index of forest extent,Index,102.485148658659,102.485148658659,102.485148658659,102.485148658659,102.485148658659
Georgia,GEO,Share of forest area,Percent,40.6159159591308,40.6159159591308,40.6159159591308,40.6159159591308,40.6159159591308
India,IND,Index of forest extent,Index,110.760399946806,111.172346393768,111.58429284073,111.996239287691,112.408185734653
India,IND,Share of forest area,Percent,24.0910268095884,24.1806275414622,24.270228273336,24.3598290052099,24.4494297370837
Indonesia,IDN,Index of forest extent,Index,81.104047197025,80.5779115837765,80.0517846592291,79.525651913252,78.9995230771904
Indonesia,IDN,Share of forest area,Percent,49.7168177792076,49.3942964092507,49.0717803654717,48.3619448681206,48.0419900717626
Iran,IRN,Index of forest extent,Index,117.543869261164,117.724014297643,117.816059206792,117.966837534161,118.078460614641
Iran,IRN,Share of forest area,Percent,6.61142064714946,6.6215531587057,6.62673035439137,6.63521109399075,6.64148949152542
Iraq,IRQ,Index of forest extent,Index,102.255825483391,102.255825483391,102.255825483391,102.255825483391,102.255825483391
Iraq,IRQ,Share of forest area,Percent,1.90036118379833,1.90036118379833,1.90036118379833,1.90036118379833,1.90036118379833
Israel,ISR,Index of forest extent,Index,102.790014684288,102.790014684288,102.790014684288,102.790014684288,102.790014684288
Israel,ISR,Share of forest area,Percent,6.46950092421442,6.46950092421442,6.46950092421442,6.46950092421442,6.46950092421442
Japan,JPN,Index of forest extent,Index,99.9991979210113,99.9991979210113,99.9991979210113,99.9991979210113,99.9991979210113
Japan,JPN,Share of forest area,Percent,68.4087791495199,68.4087791495199,68.4087791495199,68.4087791495199,68.4087791495199
Jordan,JOR,Index of forest extent,Index,100.0,100.0,100.0,100.0,100.0
Jordan,JOR,Share of forest area,Percent,1.09822031989187,1.09804716534901,1.09804716534901,1.09804716534901,1.09804716534901
