Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
United Arab Emirates,ARE,Climate Altering Land Cover Index,Index,100.329760923331,105.053280815853,106.232465071783,107.010472962658,109.587493511648
United Arab Emirates,ARE,Artificial surfaces (including urban and associated areas),1000 HA,204.42,211.84,217.12,219.21,227.88
United Arab Emirates,ARE,Grassland,1000 HA,39.92,40.9,41.57,41.84,42.97
United Arab Emirates,ARE,Herbaceous crops,1000 HA,124.17,132.22,130.8,131.26,131.03
United Arab Emirates,ARE,Inland water bodies,1000 HA,18.21,18.21,18.13,18.21,18.21
United Arab Emirates,ARE,Mangroves,1000 HA,1.57,1.56,1.55,1.56,1.58
United Arab Emirates,ARE,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,Shrub-covered areas,1000 HA,4.72,4.67,4.18,4.19,4.08
United Arab Emirates,ARE,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.88,0.88,0.88,0.88,0.88
United Arab Emirates,ARE,Sparsely natural vegetated areas,1000 HA,326.01,325.84,324.5,324.37,324.65
United Arab Emirates,ARE,Terrestrial barren land,1000 HA,6262.9,6253.31,6248.89,6246.47,6235.18
United Arab Emirates,ARE,Tree-covered areas,1000 HA,51.76,53.21,54.18,54.58,56.3
United Arab Emirates,ARE,Woody crops,1000 HA,115.66,107.58,108.38,107.65,107.46
"Afghanistan, Islamic Rep. of",AFG,Climate Altering Land Cover Index,Index,98.2503570635901,98.4913913549587,98.4927425048118,98.4947039479974,98.5201121197731
"Afghanistan, Islamic Rep. of",AFG,Artificial surfaces (including urban and associated areas),1000 HA,69.48,73.46,73.42,75.33,79.41
"Afghanistan, Islamic Rep. of",AFG,Grassland,1000 HA,24665.36,24677.64,24681.85,24655.56,24468.31
"Afghanistan, Islamic Rep. of",AFG,Herbaceous crops,1000 HA,5699.12,5709.3,5709.44,5707.62,5705.03
"Afghanistan, Islamic Rep. of",AFG,Inland water bodies,1000 HA,64.31,64.61,64.6,64.61,64.59
"Afghanistan, Islamic Rep. of",AFG,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
"Afghanistan, Islamic Rep. of",AFG,Permanent snow and glaciers,1000 HA,317.57,317.57,317.59,317.57,317.57
"Afghanistan, Islamic Rep. of",AFG,Shrub-covered areas,1000 HA,3120.41,3122.33,3122.65,3121.93,3121.14
"Afghanistan, Islamic Rep. of",AFG,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,7.06,7.06,7.04,7.06,7.06
"Afghanistan, Islamic Rep. of",AFG,Sparsely natural vegetated areas,1000 HA,4199.28,4229.92,4256.57,4274.5,4447.88
"Afghanistan, Islamic Rep. of",AFG,Terrestrial barren land,1000 HA,24876.88,24802.26,24770.08,24772.54,24780.83
"Afghanistan, Islamic Rep. of",AFG,Tree-covered areas,1000 HA,1171.21,1181.81,1183.8,1190.09,1195.05
"Afghanistan, Islamic Rep. of",AFG,Woody crops,1000 HA,157.94,162.75,161.9,161.85,161.77
"Armenia, Rep. of",ARM,Climate Altering Land Cover Index,Index,98.7775198864276,98.54508539084,98.4377864158472,98.3691876102736,98.4042471429654
"Armenia, Rep. of",ARM,Artificial surfaces (including urban and associated areas),1000 HA,52.93,52.93,52.93,53.38,54.05
"Armenia, Rep. of",ARM,Grassland,1000 HA,688.22,686.84,685.68,684.35,681.72
"Armenia, Rep. of",ARM,Herbaceous crops,1000 HA,823.76,821.7,820.73,819.68,819.33
"Armenia, Rep. of",ARM,Inland water bodies,1000 HA,133.15,133.15,133.17,133.15,133.15
"Armenia, Rep. of",ARM,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
"Armenia, Rep. of",ARM,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
"Armenia, Rep. of",ARM,Shrub-covered areas,1000 HA,438.11,438.79,439.08,439.76,441.05
"Armenia, Rep. of",ARM,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,1.21,1.21,1.22,1.21,1.21
"Armenia, Rep. of",ARM,Sparsely natural vegetated areas,1000 HA,39.16,39.09,39.03,39.06,39.08
"Armenia, Rep. of",ARM,Terrestrial barren land,1000 HA,36.82,36.83,36.8,36.68,36.36
"Armenia, Rep. of",ARM,Tree-covered areas,1000 HA,643.1,644.35,646.12,646.96,648.36
"Armenia, Rep. of",ARM,Woody crops,1000 HA,109.26,110.84,110.91,111.47,111.42
"Azerbaijan, Rep. of",AZE,Climate Altering Land Cover Index,Index,99.4063947119019,99.2297488032058,98.6512157438153,98.6283296411672,98.5988886742313
"Azerbaijan, Rep. of",AZE,Artificial surfaces (including urban and associated areas),1000 HA,116.62,117.46,117.55,123.87,130.22
"Azerbaijan, Rep. of",AZE,Grassland,1000 HA,970.07,970.14,969.99,969.21,967.28
"Azerbaijan, Rep. of",AZE,Herbaceous crops,1000 HA,3529.96,3522.64,3501.38,3494.17,3486.74
"Azerbaijan, Rep. of",AZE,Inland water bodies,1000 HA,7999.15,7998.38,7998.14,7997.81,7997.96
"Azerbaijan, Rep. of",AZE,Mangroves,1000 HA,0.0,0.0,0.0,0.0,0.0
"Azerbaijan, Rep. of",AZE,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
"Azerbaijan, Rep. of",AZE,Shrub-covered areas,1000 HA,985.35,985.02,985.15,985.09,987.25
"Azerbaijan, Rep. of",AZE,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,4.33,4.36,4.43,4.43,4.43
"Azerbaijan, Rep. of",AZE,Sparsely natural vegetated areas,1000 HA,833.32,831.99,832.06,831.98,831.89
"Azerbaijan, Rep. of",AZE,Terrestrial barren land,1000 HA,390.2,388.47,388.2,385.96,383.29
"Azerbaijan, Rep. of",AZE,Tree-covered areas,1000 HA,1238.36,1240.5,1241.67,1245.45,1249.88
"Azerbaijan, Rep. of",AZE,Woody crops,1000 HA,429.07,437.47,458.1,458.47,457.5
Bangladesh,BGD,Climate Altering Land Cover Index,Index,98.1244792411978,97.755001958844,97.4815023103753,97.3398137440401,96.6967900267866
Bangladesh,BGD,Artificial surfaces (including urban and associated areas),1000 HA,83.05,83.08,85.94,92.48,96.67
Bangladesh,BGD,Grassland,1000 HA,902.06,905.99,909.04,911.27,923.74
Bangladesh,BGD,Herbaceous crops,1000 HA,8400.52,8368.54,8342.04,8323.25,8263.46
Bangladesh,BGD,Inland water bodies,1000 HA,1162.88,1161.59,1161.31,1161.18,1160.81
Bangladesh,BGD,Mangroves,1000 HA,420.07,420.44,419.93,420.79,421.26
Bangladesh,BGD,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Bangladesh,BGD,Shrub-covered areas,1000 HA,805.92,802.16,802.67,799.18,813.3
Bangladesh,BGD,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,36.3,36.0,35.89,36.33,36.87
Bangladesh,BGD,Sparsely natural vegetated areas,1000 HA,1.47,1.47,1.49,1.47,1.47
Bangladesh,BGD,Terrestrial barren land,1000 HA,34.16,34.69,34.9,34.93,34.93
Bangladesh,BGD,Tree-covered areas,1000 HA,836.04,854.17,860.92,864.32,902.69
Bangladesh,BGD,Woody crops,1000 HA,1356.44,1370.77,1384.78,1393.71,1383.7
"Bahrain, Kingdom of",BHR,Climate Altering Land Cover Index,Index,107.80487804878,109.69512195122,110.480273234308,112.089754509561,116.158536585366
"Bahrain, Kingdom of",BHR,Artificial surfaces (including urban and associated areas),1000 HA,17.36,17.68,17.79,18.07,18.76
"Bahrain, Kingdom of",BHR,Grassland,1000 HA,2.35,2.39,2.4,2.44,2.53
"Bahrain, Kingdom of",BHR,Herbaceous crops,1000 HA,0.32,0.31,0.31,0.31,0.29
"Bahrain, Kingdom of",BHR,Inland water bodies,1000 HA,3.77,3.77,3.79,3.77,3.77
"Bahrain, Kingdom of",BHR,Mangroves,1000 HA,0.01,0.01,0.01,0.01,0.01
"Bahrain, Kingdom of",BHR,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
"Bahrain, Kingdom of",BHR,Shrub-covered areas,1000 HA,0.21,0.21,0.21,0.21,0.21
"Bahrain, Kingdom of",BHR,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.09,0.09,0.09,0.09,0.09
"Bahrain, Kingdom of",BHR,Sparsely natural vegetated areas,1000 HA,2.14,2.14,2.15,2.14,2.12
"Bahrain, Kingdom of",BHR,Terrestrial barren land,1000 HA,37.47,37.05,36.86,36.57,35.71
"Bahrain, Kingdom of",BHR,Tree-covered areas,1000 HA,3.57,3.64,3.62,3.68,3.82
"Bahrain, Kingdom of",BHR,Woody crops,1000 HA,0.3,0.3,0.29,0.29,0.28
Brunei Darussalam,BRN,Climate Altering Land Cover Index,Index,102.278408695276,103.462653583764,104.678886415763,105.742822257786,107.288273615635
Brunei Darussalam,BRN,Artificial surfaces (including urban and associated areas),1000 HA,7.63,7.64,7.73,8.1,8.61
Brunei Darussalam,BRN,Grassland,1000 HA,9.91,10.12,10.33,10.42,10.49
Brunei Darussalam,BRN,Herbaceous crops,1000 HA,17.49,17.77,17.98,17.87,17.74
Brunei Darussalam,BRN,Inland water bodies,1000 HA,8.53,8.53,8.47,8.53,8.53
Brunei Darussalam,BRN,Mangroves,1000 HA,19.41,19.35,19.35,19.32,19.32
Brunei Darussalam,BRN,Permanent snow and glaciers,1000 HA,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Shrub-covered areas,1000 HA,6.92,7.09,7.28,7.31,7.31
Brunei Darussalam,BRN,"Shrubs and/or herbaceous vegetation, aquatic or regularly flooded",1000 HA,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Sparsely natural vegetated areas,1000 HA,0.22,0.22,0.22,0.22,0.22
Brunei Darussalam,BRN,Terrestrial barren land,1000 HA,0.0,0.0,0.0,0.0,0.0
