Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Afghanistan,AFG,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
Armenia,ARM,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
Azerbaijan,AZE,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
Bahrain,BHR,Change in mean sea level: Sea level,Millimeters,51.95445945945946,82.35581081081081,95.72982357357357,98.02689189189189,85.1018918918919
Bangladesh,BGD,Change in mean sea level: Sea level,Millimeters,50.26743243243243,54.199864864864864,76.23472972972974,95.74756756756757,89.37043965198075
Bhutan,BTN,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Change in mean sea level: Sea level,Millimeters,58.34621621621621,45.44441441441442,74.58477477477477,100.36495495495495,118.70679995063557
Cambodia,KHM,Change in mean sea level: Sea level,Millimeters,58.34621621621621,45.44441441441442,74.58477477477477,100.36495495495495,118.70679995063557
China,CHN,Change in mean sea level: Sea level,Millimeters,60.88087837837837,52.37885135135135,77.20925675675676,98.89743243243242,111.65584320621991
Cyprus,CYP,Change in mean sea level: Sea level,Millimeters,64.32513513513514,50.56837837837838,64.76216216216216,59.696621621621624,59.51041095890411
Georgia,GEO,Change in mean sea level: Sea level,Millimeters,60.15486486486486,68.72783783783784,67.12594594594594,73.13608108108107,73.0604054054054
Hong Kong,HKG,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
India,IND,Change in mean sea level: Sea level,Millimeters,54.50421621621622,42.99935135135135,82.81335435435435,110.66983783783785,108.03274231766014
Indonesia,IDN,Change in mean sea level: Sea level,Millimeters,55.85364864864865,42.4086036036036,77.10738988988989,103.45108108108109,109.21115913859065
Iran,IRN,Change in mean sea level: Sea level,Millimeters,50.266576576576576,82.08999999999999,95.38817067067066,96.28126126126126,81.63711711711711
Iraq,IRQ,Change in mean sea level: Sea level,Millimeters,51.95445945945946,82.35581081081081,95.72982357357357,98.02689189189189,85.1018918918919
Israel,ISR,Change in mean sea level: Sea level,Millimeters,64.32513513513514,50.56837837837838,64.76216216216216,59.696621621621624,59.51041095890411
Japan,JPN,Change in mean sea level: Sea level,Millimeters,55.20804054054054,69.05263513513513,77.71337837837838,84.95341216216215,83.23990883006294
Jordan,JOR,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
Kazakhstan,KAZ,Change in mean sea level: Sea level,Millimeters,0.0,0.0,0.0,0.0,0.0
