Country,Measure,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
Armenia,World,ARM,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Bangladesh,World,BGD,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Bhutan,World,BTN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Brunei Darussalam,World,BRN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Cambodia,World,KHM,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
China,World,CHN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Cyprus,World,CYP,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Georgia,World,GEO,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
India,World,IND,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Indonesia,World,IDN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Iran,World,IRN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Iraq,World,IRQ,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Israel,World,ISR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Japan,World,JPN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Jordan,World,JOR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Kazakhstan,World,KAZ,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
North Korea,World,PRK,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
South Korea,World,KOR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Kyrgyzstan,World,KGZ,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Laos,World,LAO,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Lebanon,World,LBN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Malaysia,World,MYS,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Maldives,World,MDV,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Mongolia,World,MNG,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Myanmar,World,MMR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Nepal,World,NPL,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Oman,World,OMN,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Pakistan,World,PAK,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Philippines,World,PHL,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Saudi Arabia,World,SAU,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Singapore,World,SGP,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Sri Lanka,World,LKA,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Syrian Arab Republic,World,SYR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Thailand,World,THA,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Timor-Leste,World,TLS,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Türkiye,World,TUR,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Turkmenistan,World,TKM,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
United Arab Emirates,World,ARE,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Uzbekistan,World,UZB,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
Viet Nam,World,VNM,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
World,World,WLD,Change in mean sea level: Sea level,Millimeters,57.700270270270266,64.09486486486486,66.81702702702702,71.50756756756758,73.79405405405406
