,Country,ISO3,Indicator,Unit,2018,2019,2020,2021,2022
0,Afghanistan,AFG,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
1,Afghanistan,AFG,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
2,Armenia,ARM,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
3,Armenia,ARM,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
4,Azerbaijan,AZE,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
5,Azerbaijan,AZE,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
6,Bahrain,BHR,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
7,Bahrain,BHR,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
8,Bangladesh,BGD,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
9,Bangladesh,BGD,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
10,Bhutan,BTN,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
11,Bhutan,BTN,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
12,Brunei Darussalam,BRN,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
13,Brunei Darussalam,BRN,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
14,Cambodia,KHM,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
15,Cambodia,KHM,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
16,China,CHN,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
17,China,CHN,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
18,Cyprus,CYP,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
19,Cyprus,CYP,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
20,Georgia,GEO,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
21,Georgia,GEO,"Monthly Atmospheric Carbon Dioxide Concentrations, Year on Year Percentage Change",Percent,0.4825,0.7174999999999999,0.6233333333333334,0.5308333333333334,0.5083333333333333
22,Hong Kong,HKG,Monthly Atmospheric Carbon Dioxide Concentrations,Parts Per Million,408.715,411.6491666666666,414.2141666666666,416.4141666666667,418.52833333333336
